# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.005               	((-1.072563588445e+01 -1.849164056797e-03 0.000000000000e+00) (1.956540056446e+00 1.195435017361e-06 -4.787682342884e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((0.000000000000e+00 0.000000000000e+00 6.431988220882e+01) (-2.864767511858e-18 2.575234724670e-18 -1.173925111465e+01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.01                	((3.644631898161e+00 3.533246088009e-02 0.000000000000e+00) (1.302880154427e+00 1.161381673993e-05 -9.860181421591e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((0.000000000000e+00 0.000000000000e+00 -2.165551122221e+01) (-5.888840699706e-18 6.179580229600e-18 -7.817231404979e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.015               	((3.286804506349e-02 -5.492385392584e-03 1.390432006778e-28) (8.872425425877e-01 4.994372994638e-06 -1.052900976163e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((8.306768619969e-28 -8.229513056410e-28 -2.674445147401e-01) (-6.343344717595e-19 1.009882135466e-18 -5.323450738434e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.02                	((2.498444322886e-02 -2.742746754704e-03 4.091480905427e-28) (6.507984162581e-01 -8.003176402941e-06 -8.300510512176e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.464154905693e-27 -2.318446644891e-27 -1.997421211882e-01) (-4.950479046482e-18 5.308136291966e-18 -3.904872071400e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.025               	((2.133144826186e-02 -2.851186961135e-03 -3.453234839080e-28) (5.161415767200e-01 -8.631022927753e-06 2.988736931631e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.055624967975e-27 1.869605774487e-27 -1.798314397364e-01) (1.872970955625e-19 -2.150828280794e-19 -3.096941035520e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.03                	((1.921349530322e-02 5.566794047811e-03 2.968379230665e-28) (4.339473812613e-01 1.653685695710e-05 -1.711144181117e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.789053902732e-27 -1.654990726847e-27 -1.069226061350e-01) (-1.098556691458e-19 -4.049525820176e-19 -2.603610350383e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.035               	((1.771604931644e-02 3.342155096551e-03 5.232744932595e-29) (3.782594930673e-01 1.615102604805e-06 -9.879513190080e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((3.822783540985e-28 -1.139669106644e-27 -1.114859820811e-01) (-5.922196336952e-18 7.467468876933e-18 -2.269576689474e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.04                	((1.658606219752e-02 -3.925302623123e-03 -1.381662427984e-27) (3.357822942151e-01 1.047699332919e-05 4.398244881661e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-8.463897699290e-27 1.191388310266e-26 -1.493735552071e-01) (2.619388843855e-18 -2.380806412197e-18 -2.014676919061e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.045               	((1.571298334651e-02 -1.475744752487e-02 -9.785336906571e-27) (2.992351541191e-01 2.423602042563e-05 9.161181106549e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.856192595971e-26 6.365183766210e-26 -2.082857093626e-01) (5.601782157604e-19 9.006623947161e-20 -1.795317654875e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.05                	((1.503130244074e-02 -2.924117825361e-02 4.941006003793e-27) (2.645549420929e-01 2.586562867656e-05 -1.370749582576e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((2.904009652664e-26 -2.677891010139e-26 -2.935821613514e-01) (-8.211756513841e-18 1.139437525250e-17 -1.587222025939e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.055               	((1.447130115627e-02 -3.769739011091e-02 -1.421713471675e-26) (2.294706689477e-01 3.135871977818e-05 4.546824984257e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-8.510871586598e-26 9.477013915243e-26 -3.348951642018e-01) (2.668881929879e-18 -2.357480366837e-18 -1.376682219455e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.06                	((1.398037174854e-02 -4.422098637031e-02 -4.001209731045e-26) (1.936133827419e-01 8.633476698475e-06 1.424407469436e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.396938474623e-25 2.366869700363e-25 -3.672327190873e-01) (8.567511582675e-18 -1.004527464050e-17 -1.161657494076e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.065               	((1.350023591510e-02 -5.246447873221e-02 1.672686418129e-25) (1.584585982847e-01 1.908557492616e-05 7.505907936196e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.988056582574e-25 -1.048139727568e-24 -4.128519853823e-01) (4.534320706785e-18 -7.297034987330e-18 -9.506554933996e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.07                	((1.297570889756e-02 -5.357860006887e-02 -3.634985683520e-26) (1.259289028145e-01 4.638797342149e-05 2.037593169862e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.195109399581e-25 2.788498087670e-25 -4.138439920220e-01) (1.223099649964e-17 -1.279701415515e-17 -7.553021015849e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.075               	((1.245115425889e-02 -5.946018531816e-02 -1.035448526133e-25) (9.747453923851e-02 4.612151152996e-05 1.437180046435e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-6.165626806761e-25 6.232611222971e-25 -4.460226533692e-01) (8.647684833204e-18 -8.896212359252e-18 -5.845691081728e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.08                	((1.193674947113e-02 -6.176960489285e-02 7.001958748259e-26) (7.300573366021e-02 3.471075649204e-05 -1.683907911922e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.099843342316e-25 -4.656901910353e-25 -4.544646339081e-01) (-1.063728842388e-18 5.994993089747e-19 -4.378159729281e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.085               	((1.139209640143e-02 -5.820748885897e-02 1.507743821560e-26) (5.197249415518e-02 1.623666194255e-05 6.660521799890e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((9.114617797551e-26 -1.280650301107e-25 -4.254841819443e-01) (4.018454039575e-18 -4.234499782103e-18 -3.117238534515e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.09                	((1.084571367850e-02 -6.569405682309e-02 -3.125150605482e-25) (3.344005538160e-02 -4.171758860727e-06 -9.573092398950e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.876462982383e-24 1.883832605292e-24 -4.699908143342e-01) (-5.802591642397e-18 6.611307468086e-18 -2.006532262950e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
