# Residuals         
# Time              	p                   	Ux                  	Uy                  
0.005               	1.000000000000e+00	1.000000000000e+00	9.999999953791e-01
0.01                	1.197149240383e-02	9.469184347392e-01	3.890439907225e-01
0.015               	1.141277068509e-02	9.507433448199e-01	1.312030050465e-01
0.02                	7.093941196008e-02	5.350831184552e-02	6.053729819158e-02
0.025               	4.217260956729e-02	2.930969751650e-02	4.676637017677e-02
0.03                	3.453798379361e-02	2.189577078250e-02	3.977531148774e-02
0.035               	3.073188703976e-02	1.707074968997e-02	3.502212075797e-02
0.04                	2.730454306587e-02	1.407763032587e-02	3.153306456449e-02
0.045               	2.391337718586e-02	1.208025641078e-02	2.892110419339e-02
0.05                	2.092743906993e-02	1.101238891908e-02	2.714107684450e-02
0.055               	1.864865491945e-02	1.038714978529e-02	2.640004289402e-02
0.06                	1.685792124847e-02	1.009026436976e-02	2.652905646446e-02
0.065               	1.630059358553e-02	1.002349287388e-02	2.707421628966e-02
0.07                	1.505105067451e-02	9.962726127873e-03	2.741034892628e-02
0.075               	1.496041678124e-02	9.699968719256e-03	2.732852918708e-02
0.08                	1.514627944224e-02	9.342655261546e-03	2.697026860749e-02
0.085               	1.534615602341e-02	8.989515641703e-03	2.653865249613e-02
0.09                	1.502968019116e-02	8.575510936716e-03	2.584642186205e-02
0.095               	1.509845229515e-02	8.247798300549e-03	2.506581747609e-02
0.1                 	1.472624305327e-02	7.972838251975e-03	2.425659280230e-02
0.105               	1.464745395331e-02	7.701848799871e-03	2.341783859152e-02
0.11                	1.414553293310e-02	7.458425504844e-03	2.268504787888e-02
0.115               	1.371328715930e-02	7.227017836575e-03	2.199162863032e-02
0.12                	1.312133771504e-02	6.993487359691e-03	2.131753613531e-02
0.125               	1.289765661566e-02	6.767885442013e-03	2.075982416551e-02
0.13                	1.251055828715e-02	6.555464721576e-03	2.032780005436e-02
0.135               	1.245150474565e-02	6.356527205993e-03	2.008135887574e-02
0.14                	1.229897465629e-02	6.165952363821e-03	1.997146557151e-02
0.145               	1.222116913345e-02	5.989413496152e-03	1.995272646370e-02
0.15                	1.229496474933e-02	5.830944454711e-03	1.994646462202e-02
0.155               	1.257133662979e-02	5.695449798641e-03	1.995769041969e-02
0.16                	1.300259666628e-02	5.577735931714e-03	1.998952329886e-02
0.165               	1.333176021943e-02	5.480585792236e-03	2.006037353827e-02
0.17                	1.353774677437e-02	5.395860810871e-03	2.016763079673e-02
0.175               	1.374192888067e-02	5.316514376912e-03	2.037932453219e-02
0.18                	1.394942813925e-02	5.256157860195e-03	2.056052404088e-02
0.185               	1.394061013259e-02	5.209787786227e-03	2.082344345566e-02
0.19                	1.422699593895e-02	5.173538871651e-03	2.118114679888e-02
0.195               	1.453737775511e-02	5.160050380715e-03	2.165044798071e-02
0.2                 	1.490728545356e-02	5.160942517912e-03	2.216509269639e-02
0.205               	1.548208828102e-02	5.161396359310e-03	2.268000693573e-02
0.21                	1.598263827939e-02	5.163787165579e-03	2.318166393170e-02
0.215               	1.660531866753e-02	5.164111776604e-03	2.367346601975e-02
0.22                	1.722498120067e-02	5.171393969301e-03	2.415927107199e-02
0.225               	1.778453247006e-02	5.181377941517e-03	2.456485760621e-02
0.23                	1.847311161045e-02	5.180100549718e-03	2.492329345318e-02
0.235               	1.898582681050e-02	5.176607025257e-03	2.525084185147e-02
0.24                	1.936049177587e-02	5.159463306454e-03	2.556156098617e-02
0.245               	1.963422908899e-02	5.130228687697e-03	2.580085158878e-02
0.25                	1.952152366745e-02	5.090971278603e-03	2.595107404822e-02
0.255               	1.956418941203e-02	5.031361434636e-03	2.602238023704e-02
0.26                	1.960569948494e-02	4.953059872696e-03	2.604334592684e-02
0.265               	1.951380695027e-02	4.861123773914e-03	2.597896073301e-02
0.27                	1.951708025058e-02	4.773135312525e-03	2.581169108063e-02
