# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
0.005         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.01          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.015         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.02          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.025         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.03          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.035         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.04          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.045         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.05          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.055         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.06          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.065         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.07          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.075         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.08          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.085         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.09          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.095         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.1           	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.105         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.11          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.115         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.12          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.125         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.13          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.135         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.14          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.145         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.15          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.155         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.16          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.165         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.17          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.175         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.18          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.185         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.19          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.195         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.2           	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.205         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.21          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.215         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.22          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.225         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.23          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.235         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.24          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.245         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.25          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.255         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.26          	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
0.265         	U             	0.000000e+00	(0.000000e+00 2.500000e-03 5.000000e-03)	1.000000e+00	(2.500000e-03 1.000000e-01 5.000000e-03)
